datenum_noUV,oxygen_noUV_umol_kg
11-Oct-2017 03:00:00,253.945488093412
11-Oct-2017 03:15:00,253.858561334428
11-Oct-2017 03:30:00,253.059139374389
11-Oct-2017 03:45:00,253.311902123282
11-Oct-2017 04:00:00,253.427760441712
11-Oct-2017 04:15:00,253.616107936978
11-Oct-2017 04:30:00,253.836949043152
11-Oct-2017 04:45:00,254.087073778373
11-Oct-2017 05:00:00,254.357059092385
11-Oct-2017 05:15:00,254.595891090188
11-Oct-2017 05:30:00,254.798471143525
11-Oct-2017 05:45:00,255.003416215753
11-Oct-2017 06:00:00,255.190597638743
11-Oct-2017 06:15:00,255.350761610518
11-Oct-2017 06:30:00,255.520242321394
11-Oct-2017 06:45:00,255.687760026387
11-Oct-2017 07:00:00,255.805612715122
11-Oct-2017 07:15:00,255.900814681979
11-Oct-2017 07:30:00,256.041284684034
11-Oct-2017 07:45:00,256.10598195777
11-Oct-2017 08:00:00,256.191198977603
11-Oct-2017 08:15:00,256.302549517802
11-Oct-2017 08:30:00,256.332521704665
11-Oct-2017 08:45:00,256.372510242655
11-Oct-2017 09:00:00,256.703261695966
11-Oct-2017 09:15:00,256.775203425969
11-Oct-2017 09:30:00,257.245514053794
11-Oct-2017 09:45:00,257.835790476233
11-Oct-2017 10:00:00,258.284839059833
11-Oct-2017 10:15:00,258.65813549024
11-Oct-2017 10:30:00,259.029553816742
11-Oct-2017 10:45:00,259.284260367745
11-Oct-2017 11:00:00,259.898113473761
11-Oct-2017 11:15:00,259.939041238607
11-Oct-2017 11:30:00,260.066141923864
11-Oct-2017 11:45:00,260.062945017706
11-Oct-2017 12:00:00,260.048191206707
11-Oct-2017 12:15:00,259.932591118408
11-Oct-2017 12:30:00,259.866566976291
11-Oct-2017 12:45:00,259.726968355199
11-Oct-2017 13:00:00,259.663166491214
11-Oct-2017 13:15:00,259.51436612264
11-Oct-2017 13:30:00,259.327149367652
11-Oct-2017 13:45:00,259.050804462434
11-Oct-2017 14:00:00,258.930207686525
11-Oct-2017 14:15:00,258.814884766963
11-Oct-2017 14:30:00,258.69815332589
11-Oct-2017 14:45:00,258.572874826508
11-Oct-2017 15:00:00,258.476401670657
11-Oct-2017 15:15:00,258.405806347908
11-Oct-2017 15:30:00,258.363594504243
11-Oct-2017 15:45:00,258.293490685439
11-Oct-2017 16:00:00,258.275754686823
11-Oct-2017 16:15:00,258.246711352674
11-Oct-2017 16:30:00,258.147368426457
11-Oct-2017 16:45:00,258.069394103608
11-Oct-2017 17:00:00,258.024640544362
11-Oct-2017 17:15:00,257.940213904059
11-Oct-2017 17:30:00,257.919863764294
11-Oct-2017 17:45:00,257.870692923031
11-Oct-2017 18:00:00,257.78083540384
11-Oct-2017 18:15:00,257.753086102033
11-Oct-2017 18:30:00,257.674667035163
11-Oct-2017 18:45:00,257.690443849957
11-Oct-2017 19:00:00,257.655947111672
11-Oct-2017 19:15:00,257.679302437816
11-Oct-2017 19:30:00,257.618543732382
11-Oct-2017 19:45:00,257.563929274681
11-Oct-2017 20:00:00,257.458387150613
11-Oct-2017 20:15:00,257.361101099833
11-Oct-2017 20:30:00,257.21018316108
11-Oct-2017 20:45:00,257.223424749142
11-Oct-2017 21:00:00,257.053861454134
11-Oct-2017 21:15:00,257.017252871829
11-Oct-2017 21:30:00,256.770477601578
11-Oct-2017 21:45:00,256.429763864373
11-Oct-2017 22:00:00,256.581082143798
11-Oct-2017 22:15:00,256.335013435992
11-Oct-2017 22:30:00,256.346545710683
11-Oct-2017 22:45:00,256.048251524413
11-Oct-2017 23:00:00,256.091975320956
11-Oct-2017 23:15:00,256.177539970601
11-Oct-2017 23:30:00,256.177195681663
11-Oct-2017 23:45:00,256.200749185742
12-Oct-2017 00:00:00,256.288382986208
12-Oct-2017 00:15:00,256.354836282241
12-Oct-2017 00:30:00,256.342186557337
12-Oct-2017 00:45:00,256.326243160813
12-Oct-2017 01:00:00,256.272930926068
12-Oct-2017 01:15:00,256.197551746686
12-Oct-2017 01:30:00,256.202874744107
12-Oct-2017 01:45:00,256.147439778557
12-Oct-2017 02:00:00,256.211085433792
12-Oct-2017 02:15:00,256.201005622202
12-Oct-2017 02:30:00,256.218510915365
12-Oct-2017 02:45:00,256.28056356556
12-Oct-2017 03:00:00,256.404861152921
12-Oct-2017 03:15:00,256.634219400586
12-Oct-2017 03:30:00,256.854576110625
12-Oct-2017 03:45:00,256.982884221672
12-Oct-2017 04:00:00,257.303844592925
12-Oct-2017 04:15:00,257.544495822131
12-Oct-2017 04:30:00,257.978591145165
12-Oct-2017 04:45:00,258.392773128907
12-Oct-2017 05:00:00,258.736118415084
12-Oct-2017 05:15:00,259.06334282688
12-Oct-2017 05:30:00,258.877722378516
12-Oct-2017 05:45:00,259.06927923629
12-Oct-2017 06:00:00,258.964477224744
12-Oct-2017 06:15:00,259.185864437186
12-Oct-2017 06:30:00,259.032084768478
12-Oct-2017 06:45:00,258.847498708647
12-Oct-2017 07:00:00,258.661959656513
12-Oct-2017 07:15:00,258.493306200978
12-Oct-2017 07:30:00,258.298583474551
12-Oct-2017 07:45:00,258.107445234575
12-Oct-2017 08:00:00,258.023882242299
12-Oct-2017 08:15:00,258.015820139341
12-Oct-2017 08:30:00,257.99343678314
12-Oct-2017 08:45:00,258.007453835184
12-Oct-2017 09:00:00,257.984323913547
12-Oct-2017 09:15:00,258.008936172964
12-Oct-2017 09:30:00,258.027119728413
12-Oct-2017 09:45:00,257.979339975237
12-Oct-2017 10:00:00,257.666734329853
12-Oct-2017 10:15:00,257.411504447056
12-Oct-2017 10:30:00,257.202101216896
12-Oct-2017 10:45:00,257.028742024725
