datetime,oxygen_uncorrected_umol_kg,oxygen_corrected_umol_kg
20-Apr-2019 20:16:38,275.340161187972,278.916635864066
20-Apr-2019 20:31:38,274.062284036194,277.622159988539
20-Apr-2019 20:46:38,274.135975132006,277.69680827976
20-Apr-2019 21:01:38,273.964763138637,277.523372363241
20-Apr-2019 21:16:38,274.068972254299,277.628935081885
20-Apr-2019 21:31:38,273.893956737254,277.451646236598
20-Apr-2019 21:46:38,273.858909939553,277.41614420569
20-Apr-2019 22:01:38,273.8251004977,277.381895603012
20-Apr-2019 22:16:38,273.959373108992,277.517119936589
20-Apr-2019 22:31:38,273.928874007478,277.484829632228
20-Apr-2019 22:46:38,273.940104268327,277.494810491706
20-Apr-2019 23:01:38,274.225110568357,277.782118458902
20-Apr-2019 23:16:38,274.103887141408,277.65792660884
20-Apr-2019 23:31:38,274.777939829214,278.339319631071
20-Apr-2019 23:46:38,274.14927003869,277.701105429445
21-Apr-2019 00:01:38,274.89288784784,278.452957410532
21-Apr-2019 00:16:38,274.336260411061,277.887724025916
21-Apr-2019 00:31:38,274.365123543877,277.915563461496
21-Apr-2019 00:46:38,274.503689727511,278.054524716265
21-Apr-2019 01:01:38,274.597516378842,278.148166528151
21-Apr-2019 01:16:38,275.78560941964,279.350217478996
21-Apr-2019 01:31:38,274.944778769525,278.497118549987
21-Apr-2019 01:46:38,275.014449570254,278.566288854411
21-Apr-2019 02:01:38,274.975645639145,278.525583309272
21-Apr-2019 02:16:38,274.889835634677,278.437265473562
21-Apr-2019 02:31:38,274.960232981091,278.507170912858
21-Apr-2019 02:46:38,275.046307111933,278.592954565833
21-Apr-2019 03:01:38,274.890029458926,278.433261711833
21-Apr-2019 03:16:38,274.858927213799,278.40035872742
21-Apr-2019 03:31:38,274.629149120677,278.16622135451
21-Apr-2019 03:46:38,274.631338619496,278.167040347523
21-Apr-2019 04:01:38,274.400168381691,277.931496413702
21-Apr-2019 04:16:38,273.786446903873,277.308482391819
21-Apr-2019 04:31:38,273.790858310845,277.311556123127
21-Apr-2019 04:46:38,274.34054720085,277.866916280725
21-Apr-2019 05:01:38,274.269073449774,277.79312694841
21-Apr-2019 05:16:38,274.722735760572,278.251219144516
