time,partial_pressure_of_carbon_dioxide_in_sea_water,pCO2_weekly_std
2015-05-07 18:05:00,437.528593305,13.318337000862881
2015-05-07 19:05:00,443.2069010978,13.376576631601267
2015-05-07 20:05:00,443.6854542235,13.41571213060206
2015-05-07 21:05:00,444.7085479479,13.424719840070516
2015-05-07 22:05:00,440.3486948425,13.376899209962298
2015-05-07 23:05:00,440.0926053729,13.31256156828938
2015-05-08 00:05:00,439.0683533996,13.298027301421863
2015-05-08 01:05:00,438.797379218,13.26949925627646
2015-05-08 02:05:00,439.5666720153,13.248436545724092
2015-05-08 03:05:00,440.0526031467,13.202527618810425
2015-05-08 04:05:00,440.6206903935,13.193720647276225
2015-05-08 05:05:00,436.5267867937,13.164175128189827
2015-05-08 06:05:00,433.5193812608,13.098402929901127
2015-05-08 07:05:00,414.7267103955,13.048141104126367
2015-05-08 08:05:00,408.1796629423,13.043941681049274
2015-05-08 09:05:00,412.3573675433,12.991511211672401
2015-05-08 10:05:00,421.1003753529,12.977316280565487
2015-05-08 11:05:00,440.4173661986,12.952744699991616
2015-05-08 12:05:00,440.7294309,12.888622914471833
2015-05-08 13:05:00,439.7566807651,12.914124025293832
2015-05-08 14:05:00,439.6352218444,12.862858723990419
2015-05-08 15:05:00,439.9996884236,12.846373775666578
2015-05-08 16:05:00,439.7438083212,12.828929595766734
2015-05-08 17:05:00,440.3244234596,12.83326838797885
2015-05-08 18:05:00,440.7581697392,12.775231335817232
2015-05-08 19:05:00,426.1452147106,12.72514789831846
2015-05-08 20:05:00,434.1869118339,12.679791923004222
2015-05-08 21:05:00,444.4391825871,12.669630112885276
2015-05-08 22:05:00,445.0822671655,12.612567747825912
2015-05-08 23:05:00,445.245189354,12.599642658838727
2015-05-09 00:05:00,446.1488632556,12.543942375252684
2015-05-09 01:05:00,447.7116000956,12.507016753610598
2015-05-09 02:05:00,448.5767991873,12.497263929498057
2015-05-09 03:05:00,449.3932612686,12.462106183657818
2015-05-09 04:05:00,448.2058148185,12.432645209623669
2015-05-09 05:05:00,434.1469630476,12.415545909685552
2015-05-09 06:05:00,448.4129736571,12.398431216072629
2015-05-09 07:05:00,451.1048732979,12.363968260314259
2015-05-09 08:05:00,450.8259143652,12.334328228087122
2015-05-09 09:05:00,452.559307966,12.293427459496698
2015-05-09 10:05:00,452.2087625561,12.247699845055841
2015-05-09 11:05:00,452.1686143727,12.227160501034655
2015-05-09 12:05:00,452.4318482201,12.215286489065026
2015-05-09 13:05:00,454.5301158664,12.198743156692439
2015-05-09 14:05:00,452.8741786359,12.171312807780351
2015-05-09 15:05:00,453.8335092875,12.143046414042201
2015-05-09 16:05:00,454.2797194505,12.119167475018847
2015-05-09 17:05:00,456.0803937592,12.083797774079516
2015-05-09 18:05:00,456.8802323239,12.053489333297511
2015-05-09 19:05:00,457.564388528,12.025846936193021
2015-05-09 20:05:00,458.0686818002,11.991919268360132
2015-05-09 21:05:00,456.9035530859,11.955757965073547
2015-05-09 22:05:00,457.7763085442,11.915539781975138
2015-05-09 23:05:00,459.3631559408,11.879321254703088
2015-05-10 00:05:00,458.0140801747,11.842581746485457
2015-05-10 01:05:00,460.5489603999,11.84991524935822
2015-05-10 02:05:00,462.2464789717,11.916389881676432
2015-05-10 03:05:00,462.6685677378,11.889809627941524
2015-05-10 04:05:00,460.208988157,11.89633662334078
2015-05-10 05:05:00,435.1588843943,11.910456561917393
2015-05-10 06:05:00,440.4034286508,11.909087387445997
2015-05-10 07:05:00,431.3236863789,11.901583906800449
2015-05-10 08:05:00,425.5130078473,11.887678228144738
2015-05-10 09:05:00,427.8756624744,11.876486208763865
2015-05-10 11:05:00,427.7263853447,11.850263555803389
2015-05-10 12:05:00,465.4746810263,11.811952641645272
2015-05-10 13:05:00,467.2088072253,11.812512480416128
2015-05-10 14:05:00,464.3228835589,11.817037000328197
2015-05-10 15:05:00,461.6525963987,11.822397567091047
2015-05-10 16:05:00,464.0840982553,11.82736459649792
2015-05-10 17:05:00,457.7791451942,11.811916028829668
2015-05-10 18:05:00,465.3544727282,11.799363093908045
2015-05-10 19:05:00,465.2718507114,11.78061803796683
2015-05-10 20:05:00,449.7500456198,11.757298566156974
2015-05-10 21:05:00,446.3440685274,11.734508904497472
2015-05-10 22:05:00,434.6589120326,11.728985096016688
2015-05-10 23:05:00,445.2028966542,11.72163239891551
2015-05-11 00:05:00,444.3616062351,11.7044597864089
2015-05-11 01:05:00,460.4055732907,11.707498874208078
2015-05-11 02:05:00,467.7845052585,11.711599191918452
2015-05-11 03:05:00,466.3282136921,11.716388863363026
2015-05-11 04:05:00,467.7391354922,11.711377943146609
2015-05-11 05:05:00,467.9614457667,11.71190155704291
2015-05-11 06:05:00,464.0087630238,11.684769482461144
2015-05-11 07:05:00,464.7959543514,11.686604076726137
2015-05-11 08:05:00,463.8188272451,11.685979633737773
2015-05-11 09:05:00,461.7934264116,11.686565244042471
2015-05-11 10:05:00,456.0427590894,11.6721746235291
2015-05-11 11:05:00,453.1060006909,11.6582212070284
2015-05-11 12:05:00,459.8769220158,11.640307188200444
2015-05-11 13:05:00,458.4735722919,11.59826115722711
2015-05-11 14:05:00,459.3616264558,11.58210593501866
2015-05-11 15:05:00,456.2619127099,11.571868653689382
2015-05-11 16:05:00,460.740255457,11.556047007069614
2015-05-11 17:05:00,458.5462415856,11.507937676620466
2015-05-11 18:05:00,445.507126964,11.41706692991071
2015-05-11 19:05:00,441.7505095896,11.024361571587814
2015-05-11 20:05:00,435.7549391712,10.462443865975555
2015-05-11 21:05:00,442.2632161613,9.96539259290677
2015-05-11 22:05:00,436.703904337,9.638765929723833
2015-05-11 23:05:00,437.8646287861,9.590446995156574
2015-05-12 00:05:00,448.6950296967,9.540846447666459
2015-05-12 01:05:00,432.7057113796,9.480734578201245
2015-05-12 02:05:00,442.3390454712,9.415233563814494
2015-05-12 03:05:00,458.9197753798,9.357602990645356
2015-05-12 04:05:00,458.8697221329,9.292109931138006
2015-05-12 05:05:00,461.4016916051,9.237060962880317
2015-05-12 06:05:00,450.5741434633,9.184699226578822
2015-05-12 07:05:00,453.2556988444,8.919664702280771
2015-05-12 08:05:00,454.3066428427,8.774552159516087
2015-05-12 09:05:00,459.8669841901,8.745019812363346
2015-05-12 10:05:00,449.0331137246,8.730394747868248
2015-05-12 11:05:00,459.5370487858,8.71213027168517
2015-05-12 12:05:00,449.2205071924,8.704687361137136
