depth,oxygen_umol_kg,oxygen_gain_corr_umol_kg
0.131320199799053,333.006464886804,336.669536000559
0.518624513739138,334.890519742321,338.574315459486
1.02719467978385,336.235735814408,339.934328908366
2.30589022956379,337.485801517554,341.198145334248
3.58821090226519,338.382063324367,342.104266020935
5.09964569918322,339.609925465616,343.345634645738
6.61770226801928,339.720199202219,343.457121393444
8.20151362304797,339.55931760067,343.294470094277
9.78680012673711,338.863043666477,342.590537146809
11.3721214097757,337.849085716306,341.565425659186
13.1161824089624,336.776940882213,340.481487231917
14.9065789237576,335.905358163281,339.600317103077
16.6972743443676,334.842326914229,338.525592510286
18.6023671290819,333.75847553442,337.429818765299
20.5018858487559,332.54974745799,336.207794680028
22.2846426734195,331.870757834656,335.521336170837
24.068485901739,330.94450178378,334.584891303401
25.8697883381991,330.435098336639,334.069884418342
27.6707181588794,329.273874062183,332.895886676867
29.4721811366369,327.320470425058,330.920995599734
31.2060018920004,324.188013070767,327.754081214545
32.9980921789442,320.327621777659,323.851225617214
34.789971113159,316.355247195627,319.835154914779
36.6800539029664,313.14372084973,316.588301779077
38.5753141638323,310.462132173556,313.877215627465
40.4695430624317,308.188837125075,311.57891433345
42.5411994015205,306.806129512422,310.180996937058
44.7197845252164,305.810946016579,309.174866422761
46.8990333727867,305.214202935587,308.571559167878
48.7450465857762,304.815897856819,308.168872733244
50.3760308489385,304.60432784561,307.954975451912
52.0064278836943,304.395059020735,307.743404669963
53.8192956806358,304.092041955408,307.437054416917
55.6768976060764,303.961062708712,307.304634398507
57.5484958961066,303.400509891351,306.737915500156
59.4044723522819,302.973196830045,306.305901995176
61.4416061683497,302.612656856766,305.94139608219
63.4890548305984,302.439018623096,305.76584782795
65.5353445578603,302.148223146388,305.471853600998
67.5540697262711,301.817069652648,305.137057418827
69.5262530815584,301.821013451741,305.14104459971
71.4988315733924,301.424640341755,304.740311385514
73.4711835727113,300.880815882658,304.190504857367
75.4778013483043,300.344695865352,303.648487519871
77.4862700834118,299.814733484604,303.112695552934
79.4945294375731,299.328171666984,302.62078155532
81.522626067497,298.933903178862,302.22217611383
83.5568898620678,298.173311817531,301.453218247524
85.5912463649149,297.204663638524,300.473914938548
87.6159088457352,295.953424152197,299.208911817871
89.6330472176973,294.275187579076,297.512214642445
91.6498492798944,293.338809629938,296.565536535867
93.6862060234462,292.677897806422,295.897354682293
95.773192003949,292.17760782126,295.391561507294
97.8597050673748,291.907820907692,295.118806937676
99.9460708567686,291.568137616656,294.775387130439
102.032564964541,291.328569270631,294.533183532608
104.119285464888,290.972520027578,294.173217747881
106.20559419594,290.509286724328,293.704888878295
108.30213817187,290.427252596067,293.621952374623
110.411442564166,290.278454588369,293.471517588841
112.516714677232,289.919951699764,293.109071168462
114.622311502907,289.539671712228,292.724608101063
116.683227002606,289.36670699321,292.549740770135
118.743174557585,289.184402072784,292.365430495585
120.678568675035,288.960881707884,292.139451406671
122.649354782003,288.67983936916,291.855317602221
124.76810663408,288.676127407161,291.851564808639
126.886423298198,288.558223944762,291.732364408154
129.002932794229,288.259311581398,291.430164008794
130.978326972982,288.170862383913,291.340741870136
133.080802272296,287.913072302497,291.080116097824
135.052613038746,287.805927606975,290.971792810652
137.151605942147,287.569073445586,290.732333253487
139.120734627327,287.405204953112,290.566662207596
141.216323501398,287.240568531197,290.40021478504
143.187086534763,287.170663917914,290.329541221011
145.299807088586,287.0083317086,290.165423357395
147.297098191206,286.932295431187,290.08855068093
149.281824065378,286.762912462549,289.917304499637
151.379268147663,286.617630469341,289.770424404504
153.472790306398,286.481659748126,289.632958005356
155.566132023124,286.466149850591,289.617277498947
157.541450525963,286.311449734543,289.460875681623
159.54063865772,286.082915082515,289.229827148423
161.535667806695,286.139627559897,289.287163463055
163.663180873544,286.218156890345,289.366556616138
165.797311582737,285.887761778299,289.032527157861
167.931712060984,285.888536569453,289.033310471717
170.066299109699,285.7446930672,288.88788469094
172.141783988887,285.73299060675,288.876053503424
174.377563496764,285.658325561697,288.800567142876
176.473718238853,285.597602431802,288.739176058551
178.67960861136,285.731329918395,288.874374547497
180.831873088795,285.634095231201,288.776070278744
182.984328446652,285.452856462886,288.592837883978
185.141051661284,285.506508661685,288.647080256964
187.27285343492,285.296466553383,288.434727685471
189.401604750211,285.085625208863,288.22156708616
191.530189909912,284.985218609583,288.120056014288
193.685775770274,284.965702041141,288.100324763593
195.740349964818,284.944608940896,288.078999639245
197.927427373158,284.781161795757,287.91375457551
200.114680921403,284.799752841944,287.932550123206
202.284908987326,284.760766974262,287.893135410979
204.321326751032,284.715529410905,287.847400234425
206.489837049762,284.662526932371,287.793814728627
208.628707978364,284.641418673354,287.772474278761
210.741511316326,284.458448529484,287.587491463309
212.854081195839,284.279349146322,287.406421986932
214.837857325543,284.359370081946,287.487323152847
216.877501159104,284.301619557521,287.428937372654
219.065197951566,284.298383515738,287.425665734411
221.252456273953,284.20096072898,287.327171296999
223.286733814925,284.21715830305,287.343547044384
225.434584036705,284.25438926332,287.381187545216
227.448280040549,284.124990287876,287.250365181042
229.587787509427,284.222160727757,287.348604495762
231.692648407525,284.101348451028,287.226463283989
233.801063369163,283.765658997941,286.887081246919
235.77636396357,283.644006270628,286.764090339605
237.747691325101,283.693696564255,286.814327226462
239.7119591837,283.721542621882,286.842479590723
241.803175072314,283.588210841015,286.707681160266
243.898642984822,283.413590823436,286.531140322494
245.873389226451,283.308251266806,286.42464203074
247.844614273329,283.174062911411,286.288977603436
249.947142446856,283.063261437777,286.176957313592
252.026382441947,282.872222235972,285.983816680567
254.104465823357,282.866546301956,285.978078311277
256.18317081684,282.800113128721,285.910914373137
258.160687459679,282.778056349391,285.888614969235
260.149107446896,282.70845706704,285.818250094777
262.270210243733,282.608501045941,285.717194557446
264.389502600822,282.541250051296,285.64920380186
266.488261497885,282.499704869634,285.6072016232
268.459832667042,282.404383565817,285.510831785041
270.558339914144,282.260747656682,285.365615880905
272.527898529858,282.156032225693,285.259748580176
274.629479995695,282.143289341643,285.246865524401
276.730721571185,282.114955063912,285.218219569615
278.705180775073,282.034397447752,285.136775819677
280.841426154756,281.949935690759,285.051384983358
282.978181157215,281.818702594039,284.918708322573
284.981276588444,281.766149141798,284.865576782358
286.992820160517,281.549146903859,284.646187519802
289.135166025921,281.346152745988,284.440960426194
291.144360499382,281.28109504219,284.375187087654
293.284494247085,281.123284751358,284.215640883623
