datetime,oxygen_uncorrected_umol_kg,oxygen_corrected_umol_kg
21-Oct-2019 18:01:40,257.48954997456,237.822980804775
21-Oct-2019 18:16:40,257.538723231647,237.86839830066
21-Oct-2019 18:31:40,257.627717430603,237.950595289518
21-Oct-2019 18:46:40,257.68676420994,238.00513218653
21-Oct-2019 19:01:40,257.757927630646,238.070860278556
21-Oct-2019 19:16:40,257.815872688121,238.124379601158
21-Oct-2019 19:31:40,257.864332431933,238.169138080574
21-Oct-2019 19:46:40,257.948441346095,238.246822913532
21-Oct-2019 20:01:40,258.005311719927,238.299358054636
21-Oct-2019 20:16:40,258.087172807957,238.374999101196
21-Oct-2019 20:31:40,258.12053673352,238.40584711447
21-Oct-2019 20:46:40,258.137399153774,238.421453978063
21-Oct-2019 21:01:40,258.005159992489,238.299347284135
21-Oct-2019 21:16:40,257.614596154863,237.938646064749
21-Oct-2019 21:31:40,257.284418888825,237.633719153385
21-Oct-2019 21:46:40,257.199898652147,237.555686588719
21-Oct-2019 22:01:40,257.002687401663,237.37357000073
21-Oct-2019 22:16:40,256.841194861554,237.224443987064
21-Oct-2019 22:31:40,256.725671196987,237.117775850994
21-Oct-2019 22:46:40,256.6643799214,237.061197983279
21-Oct-2019 23:01:40,256.472372006956,236.883887152403
21-Oct-2019 23:16:40,256.384579256941,236.802831851923
21-Oct-2019 23:31:40,256.303849508422,236.728300085061
21-Oct-2019 23:46:40,256.344802093745,236.76615699554
22-Oct-2019 00:01:40,256.354048410947,236.77472924908
22-Oct-2019 00:16:40,256.425133620264,236.840417392222
22-Oct-2019 00:31:40,256.485758647294,236.896444276072
22-Oct-2019 00:46:40,256.486364295887,236.897035819395
22-Oct-2019 01:01:40,256.57751848082,236.981260201702
22-Oct-2019 01:16:40,256.668344523186,237.065181526337
22-Oct-2019 01:31:40,256.562975810425,236.967892558782
22-Oct-2019 01:46:40,256.468910696133,236.881043848539
22-Oct-2019 02:01:40,256.498132786373,236.908066248631
22-Oct-2019 02:16:40,256.524822901097,236.932750060059
22-Oct-2019 02:31:40,256.562076555002,236.967190629313
22-Oct-2019 02:46:40,256.502929378135,236.912592961466
22-Oct-2019 03:01:40,256.560859550535,236.966130894796
22-Oct-2019 03:16:40,256.500415463862,236.910335353481
22-Oct-2019 03:31:40,256.391573441225,236.809838221019
22-Oct-2019 03:46:40,256.309165165532,236.733755951791
22-Oct-2019 04:01:40,256.170414167077,236.605634062842
22-Oct-2019 04:16:40,256.054198483976,236.498326343275
22-Oct-2019 04:31:40,255.862147854318,236.320975453396
22-Oct-2019 04:46:40,255.777221734697,236.242567529587
22-Oct-2019 05:01:40,255.580275719061,236.060695049014
22-Oct-2019 05:16:40,255.380794475057,235.876480914846
22-Oct-2019 05:31:40,255.237421849459,235.744090147074
22-Oct-2019 05:46:40,255.12959013754,235.644525883584
22-Oct-2019 06:01:40,255.029863410604,235.552447575386
22-Oct-2019 06:16:40,254.95132413467,235.479938544944
22-Oct-2019 06:31:40,254.915281126755,235.446680202698
22-Oct-2019 06:46:40,254.947084214635,235.476086357509
22-Oct-2019 07:01:40,254.919839457457,235.450954311348
22-Oct-2019 07:16:40,254.944533067598,235.473793965212
22-Oct-2019 07:31:40,254.99257933798,235.518202788514
22-Oct-2019 07:46:40,254.940789156491,235.470399901549
22-Oct-2019 08:01:40,254.995208703393,235.520695272623
22-Oct-2019 08:16:40,255.165449130979,235.67796607149
22-Oct-2019 08:31:40,255.333345609601,235.833071975558
22-Oct-2019 08:46:40,255.341061525584,235.840230621034
22-Oct-2019 09:01:40,255.536582832424,236.020851665871
22-Oct-2019 09:16:40,255.747938338391,236.216097678193
22-Oct-2019 09:31:40,255.772887944153,236.239173908582
22-Oct-2019 09:46:40,255.694764796182,236.167049181328
