depth,oxygen_umol_kg
997.698,292.649860665359
901.702,289.834914758579
802.422,286.286108516008
701.976,285.987202213777
602.125,283.868481913486
501.895,280.275984127865
401.736,280.408647118936
301.595,284.101435021052
201.591,287.622444120677
100.488,297.367290486759
30.066,316.431049178158
2.927,342.219922120959
