practical_salinity,nitrate_concentration,time,seawater_temperature,salinity_corrected_nitrate,depth
1,\u00b5Mol L-1,UTC,\u00baC,\u00b5mol L-1,m
33.955025,30.79,2020-08-17T07:46:26Z,7.5944653,31.276127,123.67438
33.955116,31.2,2020-08-17T07:46:27Z,7.5950165,31.147024,123.625374
33.95403,30.51,2020-08-17T07:47:07Z,7.6027865,31.326221,121.80598
33.954655,30.46,2020-08-17T07:47:08Z,7.6038246,31.178144,121.76516
33.95526,30.53,2020-08-17T07:47:47Z,7.6034827,31.304996,119.98007
33.955864,30.63,2020-08-17T07:47:48Z,7.605153,31.182053,119.9178
33.95267,31.49,2020-08-17T07:48:28Z,7.60915,31.184954,118.15311
33.953457,30.21,2020-08-17T07:48:29Z,7.609005,31.268194,118.09527
33.95046,30.46,2020-08-17T07:49:08Z,7.6295815,31.12785,116.287476
33.951088,31.12,2020-08-17T07:49:09Z,7.6299415,31.240582,116.24386
33.945156,30.34,2020-08-17T07:49:47Z,7.6621246,31.021273,114.502815
33.94514,30.21,2020-08-17T07:49:48Z,7.6613407,31.066784,114.46304
33.942505,30.23,2020-08-17T07:50:27Z,7.687517,30.881258,112.68959
33.943172,30.24,2020-08-17T07:50:28Z,7.6864414,30.862661,112.648865
33.938843,30.07,2020-08-17T07:51:07Z,7.710041,30.741745,110.87336
33.93725,29.88,2020-08-17T07:51:46Z,7.719704,30.73718,109.06812
33.93697,29.64,2020-08-17T07:51:48Z,7.7200966,30.814926,109.01477
33.93682,30.22,2020-08-17T07:52:26Z,7.725311,30.687437,107.27759
33.930405,29.43,2020-08-17T07:53:05Z,7.7453036,30.619358,105.47548
33.935444,29.88,2020-08-17T07:53:06Z,7.7425556,30.609562,105.425964
33.910023,29.79,2020-08-17T07:53:45Z,7.9241734,30.317781,103.64344
33.90757,29.67,2020-08-17T07:53:46Z,7.9284415,30.265842,103.605576
33.891624,29.96,2020-08-17T07:54:26Z,8.014822,30.149551,101.8334
33.892376,29.97,2020-08-17T07:54:27Z,8.0130005,30.323566,101.783585
33.889675,29.23,2020-08-17T07:55:05Z,8.041658,29.473087,100.00145
33.88219,29.11,2020-08-17T07:55:44Z,8.060629,29.437843,98.23873
33.881313,29.63,2020-08-17T07:55:46Z,8.060353,29.381306,98.19646
33.879013,28.87,2020-08-17T07:56:24Z,8.076438,29.31636,96.43029
33.87334,28.45,2020-08-17T07:57:03Z,8.09975,29.169163,94.65055
33.87332,29.42,2020-08-17T07:57:04Z,8.100008,29.197231,94.61524
33.85778,28.78,2020-08-17T07:57:44Z,8.127292,28.830458,92.78403
33.857304,28.51,2020-08-17T07:57:45Z,8.127629,28.730358,92.73089
