time,chlora,depth
2018-06-26 20:42:00.223361536,0.0238,190.55930094747174
2018-06-26 20:42:01.352047616,0.0476,190.55810186070343
2018-06-26 20:42:02.480743936,0.13090000000000002,190.55340163247362
2018-06-26 20:42:03.608990720,0.0714,190.54883985630286
2018-06-26 20:42:04.737402368,0.0357,190.54524190429663
2018-06-26 20:42:05.865779200,0.0119,190.54164810966924
2018-06-26 20:42:06.994175488,0.0357,190.53806035683522
2018-06-26 20:42:08.122549760,0.0119,190.53604305253435
2018-06-26 20:42:09.250940928,0.0357,190.5357694178599
2018-06-26 20:42:10.379355136,0.0119,190.53789329325122
2018-06-26 20:42:11.507752960,0.0476,190.53963855761097
2018-06-26 20:42:12.636131840,0.0357,190.54509514858538
2018-06-26 20:42:13.764820992,0.0238,190.54909969116594
2018-06-26 20:42:14.893510656,0.0238,190.55443681779735
2018-06-26 20:42:16.022158336,0.0238,190.55974130775635
2018-06-26 20:42:17.150808576,0.0238,190.56290450813344
2018-06-26 20:42:18.279480832,0.0357,190.5653130245069
2018-06-26 20:42:19.408162816,0.0476,190.56656960993982
2018-06-26 20:42:20.536818176,0.0,190.56537211886555
2018-06-26 20:42:21.665509376,0.0476,190.56418037324133
2018-06-26 20:42:22.794227200,0.059500000000000004,190.5620871982762
2018-06-26 20:42:23.922924032,0.0357,190.55848334859482
2018-06-26 20:42:25.051600384,0.0476,190.55631201642765
2018-06-26 20:42:26.180317184,0.0238,190.55425550369733
2018-06-26 20:42:27.308994048,0.059500000000000004,190.5538212601509
2018-06-26 20:42:28.437671424,0.0238,190.55275787380745
2018-06-26 20:42:29.566336000,0.0119,190.55315605127237
2018-06-26 20:42:30.695019008,0.0357,190.55522614517474
2018-06-26 20:42:31.823694336,0.0238,190.55689738280498
2018-06-26 20:42:32.952444928,0.0357,190.5580753939734
2018-06-26 20:42:34.081085440,0.0357,190.55956279132414
2018-06-26 20:42:35.209767936,0.0357,190.55930907826243
2018-06-26 20:42:36.338438656,0.0357,190.55913434653684
2018-06-26 20:42:37.467144704,0.0357,190.55914217171494
2018-06-26 20:42:38.595852288,0.0119,190.55844915218438
2018-06-26 20:42:39.724547584,0.0,190.55558815266167
